issue_id,district,sector,cell,leaders,date_reported,date_resolved,assigned_department,assigned_level,Description,status,escalated,is_overdue,feedback_rating,feedback_comment,,,,latitude,longitude,priority
ISS-1000,Nyarugenge,Nyamirambo,Mumena,Habimana Baptiste,05/02/2025,27/02/2025,Education,Cell,Public transport shortage during rush hours by the primary school since the rainy season began.,Resolved,No,No,1,Good communication throughout.,,,,-1.993611,30.044167,Low
ISS-1001,Kicukiro,Kigarama,Kigarama I,Mugisha Emmanuel,10/05/2025,28/05/2025,Education,Cell,Blocked drainage causing floods at the football field for 1 week.,Resolved,No,No,2,"Poor handling, not happy.",,,,-1.9875,30.0646,Urgent
ISS-1002,Nyarugenge,Kigali,Kiyovu,Iradukunda David,27/07/2025,21/08/2025,Social services,Sector,Electricity blackout in the neighborhood behind the local office since last week.,Resolved,No,No,2,"Poor handling, not happy.",,,,-1.967222,30.055556,Medium
ISS-1003,Kicukiro,Gikondo,Rwimbogo,Nshimiyimana Eric,27/01/2025,,Education,Sector,Flooding in homes after rain near the market for over a month.,Open,No,No,,,,,,-1.969161,30.080966,Medium
ISS-1004,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,28/04/2025,28/05/2025,Health and Services ,District,Garbage collection delay near the river since yesterday.,Resolved,No,No,4,Service was quick and effective.,,,,-1.969161,30.080966,Low
ISS-1005,Nyarugenge,Kigali,Muhima,Rukundo Innocent,19/02/2025,21/02/2025,Water & sanitation,District,Noise pollution from nearby bars near the river for several weeks.,Resolved,No,No,4,Very satisfied with the outcome.,,,,-1.9359,30.0534,Low
ISS-1006,Gasabo,Remera,Nyabisindu,Patrick Manzi,12/06/2025,18/06/2025,Water & sanitation,Sector,Flooding in homes after rain by the primary school since yesterday.,Resolved,No,No,5,Very satisfied with the outcome.,,,,-1.9527,30.116,Low
ISS-1007,Gasabo,Kimironko,Kibagabaga,Nsengiyumva Christian,13/02/2025,21/02/2025,Social services,District,Water shortage in the area in the village center for over a month.,Resolved,No,No,3,The issue is still not fully fixed.,,,,-1.93429,30.1179,High
ISS-1008,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,25/03/2025,19/04/2025,Education,District,Unfinished construction causing hazards near the health post since last week.,Resolved,No,No,1,Took longer than expected.,,,,-1.969161,30.080966,Medium
ISS-1009,Gasabo,Kimironko,Nyagatovu,Ishimwe Grace,26/05/2025,06/06/2025,Health and Services ,Cell,Lack of waste bins in public areas behind the local office since last week.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.93429,30.1179,Medium
ISS-1010,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,05/02/2025,23/02/2025,Education,Sector,Lack of waste bins in public areas behind the local office for over a month.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.969161,30.080966,Low
ISS-1011,Nyarugenge,Kigali,Muhima,Rukundo Innocent,05/02/2025,08/02/2025,Water & sanitation,Cell,Broken streetlight at the main road since last week.,Resolved,No,No,4,Service was quick and effective.,,,,-1.9359,30.0534,Urgent
ISS-1012,Gasabo,Remera,Rukiri II,Shema Emmy,09/04/2025,24/04/2025,Social services,Cell,Public toilet not functioning behind the local office for almost a year.,Resolved,No,No,3,Good communication throughout.,,,,-1.9527,30.116,High
ISS-1013,Gasabo,Remera,Rukiri II,Shema Emmy,29/03/2025,,Water & sanitation,District,Open sewage causing bad smell next to the bus stop for 3 days.,In Progress,No,No,,,,,,-1.9527,30.116,Low
ISS-1014,Gasabo,Kimironko,Bibare,Muhire Umutoni,10/05/2025,07/06/2025,Social services,Cell,Noise pollution from nearby bars in the residential area since the rainy season began.,Resolved,No,No,3,"Poor handling, not happy.",,,,-1.93429,30.1179,Low
ISS-1015,Nyarugenge,Nyamirambo,Mumena,Habimana Baptiste,19/07/2025,18/08/2025,Education,District,Poor internet connectivity in public offices in the residential area since yesterday.,Resolved,No,No,1,Good communication throughout.,,,,-1.993611,30.044167,Low
ISS-1016,Kicukiro,Gikondo,Kanserege,Uwase Cyuzuzo,03/03/2025,,Water & sanitation,Sector,Unfinished construction causing hazards next to the bus stop for 2 months now.,Escalated,Yes,No,,,,,,-1.9732,30.081,Low
ISS-1017,Gasabo,Remera,Rukiri II,Shema Emmy,16/07/2025,,Health and Services ,District,Noise pollution from nearby bars next to the bus stop since yesterday.,Escalated,Yes,No,,,,,,-1.9527,30.116,Medium
ISS-1018,Kicukiro,Kigarama,Kigarama II,Mugisha Patrick,24/02/2025,21/03/2025,Social services,Sector,Broken streetlight at the football field since the rainy season began.,Resolved,No,No,2,"Poor handling, not happy.",,,,-1.9875,30.0646,Low
ISS-1019,Kicukiro,Gikondo,Gikondo,Kwizera Olivier,26/04/2025,,public Safety,District,Overgrown bushes blocking footpaths in the village center for 1 week.,Open,No,No,,,,,,-1.969161,30.080966,Low
